PAIS;Equipo;Marca;Site;Ubicación;Device Name;IP;;;;;;;;;;;;;;;;;
Argentina;Switch;Cisco;Planta Mendoza;Playa Vacios;SWMZAPLAYVAC;10.133.14.18;;;;;;;;;;;;;;;;;
Argentina;Switch;Cisco;Planta Mendoza;Porteria;SWMZAPORT;10.133.14.24;;;;;;;;;;;;;;;;;
Argentina;Switch;Cisco;Planta Mendoza;Produccion;SWMZAPRODUC;10.133.14.13;;;;;;;;;;;;;;;;;
Argentina;Switch;Cisco;Planta Mendoza;SUM;SWMZASUM;10.133.14.25;;;;;;;;;;;;;;;;;
Argentina;Switch;Cisco;Planta Mendoza;Ventas;SWMZAVENT;10.133.14.19;;;;;;;;;;;;;;;;;
Argentina;Switch;Cisco;Planta Quilmes;1890;SWQCAP155-58;10.133.0.155;;;;;;;;;;;;;;;;;
Argentina;Switch;Cisco;Planta Quilmes;Central Telefonica;SWQTEL188-70;10.133.0.188;;;;;;;;;;;;;;;;;
Argentina;Switch;Cisco;Planta Quilmes;CPD Recovery;SWR4506-0;10.133.0.3;;;;;;;;;;;;;;;;;
Argentina;Switch;Cisco;Planta Quilmes;CPD-Compras-Logistica;SWQEDV69-50;10.133.0.69;;;;;;;;;;;;;;;;;
Argentina;Switch;Cisco;Planta Quilmes;CPD-Compras-Logistica;SWQEDV70-50;10.133.0.70;;;;;;;;;;;;;;;;;
Argentina;Switch;Cisco;Planta Quilmes;CPD-Compras-Logistica;SWQEDV71-50;10.133.0.71;;;;;;;;;;;;;;;;;
Argentina;Switch;Cisco;Planta Quilmes;CPD-Compras-Logistica;SWQEDV72-50;10.133.0.72;;;;;;;;;;;;;;;;;
Argentina;Switch;Cisco;Planta Quilmes;CPD-Compras-Logistica;SWQEDV73-50;10.133.0.73;;;;;;;;;;;;;;;;;
Argentina;Switch;Cisco;Planta Quilmes;CPD-Compras-Logistica;SWQEDV74-50;10.133.0.74;;;;;;;;;;;;;;;;;
Argentina;Switch;Cisco;Planta Quilmes;CPD-Compras-Logistica;SWQEDV75-50;10.133.0.75;;;;;;;;;;;;;;;;;
Argentina;Switch;Cisco;Planta Quilmes;CPD-Compras-Logistica;SWQEDV77-50;10.133.0.77;;;;;;;;;;;;;;;;;
Argentina;Switch;Cisco;Planta Quilmes;CSC;SWQEDN141-56;10.133.0.141;;;;;;;;;;;;;;;;;
Argentina;Switch;Cisco;Planta Quilmes;CSC;SWQEDN142-56;10.133.0.142;;;;;;;;;;;;;;;;;
Argentina;Switch;Cisco;Planta Quilmes;CSC;SWQEDN143-56;10.133.0.143;;;;;;;;;;;;;;;;;
Argentina;Switch;Cisco;Planta Quilmes;CSC;SWQEDN144-56;10.133.0.144;;;;;;;;;;;;;;;;;
Argentina;Switch;Cisco;Planta Quilmes;CSC;SWQEDN145-56;10.133.0.145;;;;;;;;;;;;;;;;;
Argentina;Switch;Cisco;Planta Quilmes;CSC;SWQEDN146-56;10.133.0.146;;;;;;;;;;;;;;;;;
Argentina;Switch;Cisco;Planta Quilmes;CSC;SWQEDN147-56;10.133.0.147;;;;;;;;;;;;;;;;;
Argentina;Switch;Cisco;Planta Quilmes;CSC;SWQEDN148-56;10.133.0.148;;;;;;;;;;;;;;;;;
Argentina;Switch;Cisco;Planta Quilmes;CSC;SWQEDN149-56;10.133.0.149;;;;;;;;;;;;;;;;;
Argentina;Switch;Cisco;Planta Quilmes;CSC;SWQEDN150-56;10.133.0.150;;;;;;;;;;;;;;;;;
Argentina;Switch;Cisco;Planta Quilmes;Mancom Sistemas Finanzas;SWQEDN125-55;10.133.0.126;;;;;;;;;;;;;;;;;
Argentina;Switch;Cisco;Planta Quilmes;Mancom Sistemas Finanzas;SWQEDN125-55;10.133.0.127;;;;;;;;;;;;;;;;;
Argentina;Switch;Cisco;Planta Quilmes;Mancom Sistemas Finanzas;SWQEDN125-55;10.133.0.128;;;;;;;;;;;;;;;;;
Argentina;Switch;Cisco;Planta Quilmes;Mancom Sistemas Finanzas;SWQEDN125-55;10.133.0.129;;;;;;;;;;;;;;;;;
Argentina;Switch;Cisco;Planta Quilmes;Mancom Sistemas Finanzas;SWQEDN125-55;10.133.0.130;;;;;;;;;;;;;;;;;
Argentina;Switch;Cisco;Planta Quilmes;Mancom Sistemas Finanzas;SWQEDN125-55;10.133.0.131;;;;;;;;;;;;;;;;;
Argentina;Switch;Cisco;Planta Quilmes;Mancom Sistemas Finanzas;SWQEDN125-55;10.133.0.132;;;;;;;;;;;;;;;;;
Argentina;Switch;Cisco;Planta Quilmes;Mancom Sistemas Finanzas;SWQEDN125-55;10.133.0.133;;;;;;;;;;;;;;;;;
Argentina;Switch;Cisco;Planta Quilmes;Mancom Sistemas Finanzas;SWQEDN125-55;10.133.0.134;;;;;;;;;;;;;;;;;
Argentina;Switch;Cisco;Planta Quilmes;Mancom Sistemas Finanzas;SWQEDN125-55;10.133.0.135;;;;;;;;;;;;;;;;;
Argentina;Switch;Cisco;Planta Quilmes;Mancom Sistemas Finanzas;SWQEDN125-55;10.133.0.136;;;;;;;;;;;;;;;;;
Argentina;Switch;Cisco;Planta Quilmes;Mancom Sistemas Finanzas;SWQEDN125-55;10.133.0.137;;;;;;;;;;;;;;;;;
Argentina;Switch;Cisco;Planta Quilmes;Marketing RRHH;SWQEDV60-52;10.133.0.60;;;;;;;;;;;;;;;;;
Argentina;Switch;Cisco;Planta Quilmes;Marketing RRHH;SWQEDV61-52;10.133.0.61;;;;;;;;;;;;;;;;;
Argentina;Switch;Cisco;Planta Quilmes;Marketing RRHH;SWQEDV62-52;10.133.0.62;;;;;;;;;;;;;;;;;
Argentina;Switch;Cisco;Planta Quilmes;Marketing RRHH;SWQEDV63-52;10.133.0.63;;;;;;;;;;;;;;;;;
Argentina;Switch;Cisco;Planta Quilmes;Marketing RRHH;SWQEDV64-52;10.133.0.64;;;;;;;;;;;;;;;;;
Argentina;Switch;Cisco;Planta Quilmes;Marketing RRHH;SWQEDV65-52;10.133.0.65;;;;;;;;;;;;;;;;;
Argentina;Switch;Cisco;Planta Quilmes;Marketing RRHH;SWQEDV66-52;10.133.0.66;;;;;;;;;;;;;;;;;
Argentina;Switch;Cisco;Planta Quilmes;Marketing RRHH;SWQEDV67-52;10.133.0.67;;;;;;;;;;;;;;;;;
Argentina;Switch;Cisco;Planta Quilmes;Porteria 12 Octubre;SWQP12190-71;10.133.0.190;;;;;;;;;;;;;;;;;
Argentina;Switch;Cisco;Planta Quilmes;Ventas - ECO;SWQEDV79-53;10.133.0.79;;;;;;;;;;;;;;;;;
Argentina;Switch;Cisco;Planta Quilmes;Ventas - ECO;SWQEDV82-53;10.133.0.82;;;;;;;;;;;;;;;;;
Argentina;Switch;Cisco;Planta Quilmes;Ventas - ECO;SWQEDV84-53;10.133.0.84;;;;;;;;;;;;;;;;;
Argentina;Switch;Cisco;Planta Quilmes;Ventas - ECO;SWQEDV85-53;10.133.0.85;;;;;;;;;;;;;;;;;
Argentina;Switch;Cisco;Planta Quilmes;Ventas - ECO;SWQEDV86-53;10.133.0.86;;;;;;;;;;;;;;;;;
Argentina;Switch;Cisco;Planta Quilmes;GSI-Callcenter;SWQGSI213-72;10.133.0.213;;;;;;;;;;;;;;;;;
Argentina;Switch;Cisco;Planta Quilmes;GSI-Callcenter;SWQGSI214-72;10.133.0.214;;;;;;;;;;;;;;;;;
Argentina;Switch;Cisco;Planta Quilmes;GSI-Callcenter;SWQGSI215-72;10.133.0.215;;;;;;;;;;;;;;;;;
Argentina;Switch;Cisco;Planta Quilmes;Ventas - ECO;SWQEDV87-53;10.133.0.87;;;;;;;;;;;;;;;;;
Argentina;Switch;Cisco;Planta Quilmes;Ventas - ECO;SWQEDV88-53;10.133.0.88;;;;;;;;;;;;;;;;;
Argentina;Switch;Cisco;Planta Quilmes;Ventas - ECO;SWQEDV89-53;10.133.0.89;;;;;;;;;;;;;;;;;
Argentina;Switch;Cisco;Planta Quilmes;Ventas - ECO;SWQEDV90-53;10.133.0.90;;;;;;;;;;;;;;;;;
Argentina;Switch;Cisco;Planta Quilmes;CPD Recovery;SWR3750-4;10.133.0.32;;;;;;;;;;;;;;;;;
Argentina;Switch;Cisco;Planta Quilmes;CPD Recovery;SWQPOPSUM;10.133.0.50;;;;;;;;;;;;;;;;;
Argentina;Switch;Cisco;Planta Quilmes;CPD Recovery;SWQREVA-98;10.133.0.98;;;;;;;;;;;;;;;;;
Argentina;Switch;Cisco;Planta Quilmes;CSC;SWQEDN140-56;10.133.0.140;;;;;;;;;;;;;;;;;
Argentina;Switch;Cisco;Planta Quilmes;Mancom Sistemas Finanzas;SWQEDN125-55;10.133.0.125;;;;;;;;;;;;;;;;;
Argentina;Switch;Cisco;Planta Quilmes;Ventas - ECO;SWQEDV100-53;10.133.0.100;;;;;;;;;;;;;;;;;
Bolivia;Router;Cisco;CBN SCZ;Centro de computos;Bolivia 1;10.134.82.10;;;;;;;;;;;;;;;;;
Bolivia;Switch;Cisco;CBN SCZ;Centro de computos;Bolivia 2;10.134.82.11;;;;;;;;;;;;;;;;;
Bolivia;Switch;Cisco;CBN SCZ;Centro de computos;Bolivia 3;10.134.82.11;;;;;;;;;;;;;;;;;
Bolivia;Switch;Cisco;CBN SCZ;Centro de computos;Bolivia 4;10.134.82.12;;;;;;;;;;;;;;;;;
Bolivia;Switch;Cisco;CBN SCZ;Facturacion(Almacenes);Bolivia 5;10.134.82.13;;;;;;;;;;;;;;;;;
Bolivia;Switch;Cisco;CBN SCZ;Laboratorio;Bolivia 6;10.134.82.14;;;;;;;;;;;;;;;;;
Bolivia;Switch;Cisco;CBN SCZ;Control de Calidad;Bolivia 7;10.134.82.15;;;;;;;;;;;;;;;;;
Bolivia;Switch;Cisco;CBN SCZ;Ingenieria Tecnica;Bolivia 8;10.134.82.16;;;;;;;;;;;;;;;;;
Bolivia;Switch;Cisco;CBN SCZ;Adm.Planta Baja-Capacitacion;Bolivia 9;10.134.82.17;;;;;;;;;;;;;;;;;
Bolivia;Switch;Cisco;CBN SCZ;Adm.Planta Alta;Bolivia 10;10.134.82.18;;;;;;;;;;;;;;;;;
Bolivia;Switch;Cisco;CBN SCZ;Cocimiento;Bolivia 11;10.134.82.19;;;;;;;;;;;;;;;;;
Bolivia;Switch;Cisco;CBN SCZ;Logistica;Bolivia 12;10.134.82.27;;;;;;;;;;;;;;;;;
Bolivia;Router;Cisco;OV SCZ;Rack Principal;Bolivia 13;10.134.76.10;;;;;;;;;;;;;;;;;
Bolivia;Switch;Cisco;OV SCZ;Rack Principal;Bolivia 14;10.134.76.11;;;;;;;;;;;;;;;;;
Bolivia;Router;Cisco;SD CBBA;Sala de Computo;Bolivia 15;10.134.78.10;;;;;;;;;;;;;;;;;
Bolivia;Switch;Cisco;SD CBBA;Sala de Computo;Bolivia 16;10.134.78.11;;;;;;;;;;;;;;;;;
Bolivia;Switch;Cisco;SD CBBA;Sala de Computo;Bolivia 17;10.134.78.12;;;;;;;;;;;;;;;;;
Bolivia;Switch;Cisco;SD CBBA;Sala de Computo;Bolivia 18;10.134.78.13;;;;;;;;;;;;;;;;;
Bolivia;Switch;Cisco;SD CBBA;Sala de Computo;Bolivia 19;10.134.78.15;;;;;;;;;;;;;;;;;
Bolivia;Switch;Cisco;SD CBBA;EX MARKETING;Bolivia 20;10.134.78.17;;;;;;;;;;;;;;;;;
Bolivia;Switch;Cisco;SD CBBA;FACTURACION-Ex Ventas;Bolivia 21;10.134.78.18;;;;;;;;;;;;;;;;;
